"ID";"Повна назва товару";"Ціна";"К-ть";"Розд. ціна";"Опт. ціна";"Націнка 15";"ID групи";"Штрих-код виробника";"Націнка 5";"Ціна 20";"Додатково"
"5553";"""E"" гель для прання (70), 3,5л Color Aromatherapy/4";"203,00";"2";"250,00";"223,30";"233,45";"16";"9000101325928";"213,15";"243,60";""
"1951";"""Snowter"" олівець для чистки прасок";"3,85";"109";"6,00";"4,25";"4,45";"23";"4820220410085";"4,05";"4,65";""
"1563";"""Грёзи"" (""Марення"") гель для інтимної гігієни";"39,80";"9";"43,80";"43,80";"45,80";"96";"4810151009106";"41,80";"47,80";""
"5752";"""Капкан"" пастка-хатинка для тарганів і мурах/60";"4,80";"20";"6,00";"5,30";"5,55";"23";"6901256127562";"5,05";"5,80";""
"1343";"""Лапушка дитячий ш-нь""";"33,80";"10";"37,20";"37,20";"38,90";"6";"4810153005786";"35,50";"40,60";"юмікс"
"4508";"""Лапушка"" зубна паста (від 0 до 2), 85г";"15,60";"12";"17,20";"17,20";"17,95";"46";"4810153006264";"16,40";"18,75";""
"1402";"""Лапушка"" зубна паста (з фтором), 85г";"15,60";"12";"17,20";"17,20";"17,95";"46";"4810153006257";"16,40";"18,75";""
"4231";"""Лісовий бальзам"" зубна паста дит. ""2+"" 50 мл/24";"16,50";"3";"19,00";"18,15";"19,00";"179";"8714100749401";"17,35";"19,80";""
"1179";"""Мама и малыш"" дитячий ш-нь";"35,80";"12";"39,40";"39,40";"41,20";"6";"4810153011398";"37,60";"43,00";"Юмікс"
"4050";"""Модниця Красуня"" бальзам";"29,10";"3";"32,05";"32,05";"33,50";"7";"4810153026248";"30,60";"34,95";""
"3642";"""Модниця Красуня"" дитячий ш-нь з 6 років";"37,10";"12";"40,85";"40,85";"42,70";"6";"4810153026231";"39,00";"44,55";"Юмікс"
"3291";"""Модниця Чарівниця"" дитячий ш-нь з 3 років";"37,10";"12";"40,85";"40,85";"42,70";"6";"4810153026187";"39,00";"44,55";"Юмікс"
"2867";"""Ульотний патруль"" шампунь дитячий";"40,50";"6";"44,60";"44,60";"46,60";"6";"4810153023988";"42,55";"48,65";"Інна"
"4727";"A+ Baby гель для прання, (28 прань) 1,4 л/4";"135,00";"1";"150,00";"148,50";"155,25";"16";"8435495808534";"141,75";"162,00";""
"5178";"A+ Colour гель для прання, (55 прань) 2,2 л/4";"185,00";"2";"220,00";"203,50";"212,75";"16";"8435495810698";"194,25";"222,00";""
"5732";"A+ White гель для прання, (29 прань) 1,52 л/4";"135,00";"9";"160,00";"148,50";"155,25";"16";"7435427810759";"141,75";"162,00";""
"5744";"ACE Sgrassatore Universale спрей 500 мл/8";"29,00";"37";"40,00";"31,90";"33,40";"21";"8001480701175";"30,45";"34,85";""
"2942";"AXE дез. спрей Anti Marks Захист проти плям 150 мл/6/24";"35,00";"16";"41,00";"38,55";"40,30";"163";"8717163640883";"36,80";"42,00";""
"1626";"AXE дез. спрей Apollo 150 мл/6/24";"35,00";"17";"41,00";"38,55";"40,30";"163";"8690637879081";"36,80";"42,00";""
"1627";"AXE дез. спрей Black 150 мл/6/24";"35,00";"16";"41,00";"38,55";"40,30";"163";"8690637879180";"36,80";"42,00";""
"1751";"AXE дез. спрей Black Night 150 мл/6/24";"35,00";"14";"41,00";"38,55";"40,30";"163";"8690637746765";"36,80";"42,00";""
"1624";"AXE дез. спрей Dark Temptation 150 мл/6/24";"35,00";"11";"41,00";"38,55";"40,30";"163";"8690637879104";"36,80";"42,00";""
"2941";"AXE дез. спрей Gold  150 мл/6/24";"35,00";"1";"41,00";"38,55";"40,30";"163";"8690637879067";"36,80";"42,00";""
"3491";"AXE дез. спрей Ice Chill 150 мл/6/24";"35,00";"10";"41,00";"38,55";"40,30";"163";"8690637890567";"36,80";"42,00";""
"4757";"AXE дез. спрей Leather and cookies 150 мл/6/24";"35,00";"16";"41,00";"38,55";"40,30";"163";"8690637892639";"36,80";"42,00";""
"5500";"AXE дез. спрей Recharge 150 мл/6/24";"35,00";"7";"41,00";"38,55";"40,30";"163";"8714100895603";"36,80";"42,00";""
"1625";"AXE дез. спрей You 150 мл/6/24";"35,00";"10";"41,00";"38,55";"40,30";"163";"8690637879128";"36,80";"42,00";""
"3410";"AXE дез. стік  Dark Temptation 50 мл/6";"33,50";"4";"42,00";"36,90";"38,55";"163";"75025939";"35,20";"40,25";""
"3409";"AXE дез. стік Black 50 мл/6";"33,50";"6";"42,00";"36,90";"38,55";"163";"75048099";"35,20";"40,25";""
"4420";"AXE дез. стік Leather and cookies 50 мл/6";"33,50";"7";"42,00";"36,90";"38,55";"163";"75060190";"35,20";"40,25";""
"1507";"Almat гель для прання 1л (28 прань) Non-Bio";"1,90";"13";"95,00";"66,90";"69,95";"16";"25306408";"63,85";"73,00";""
"3945";"Almat пральний порошок 1,625 кг (25 прань) Color/5";"2,80";"1";"110,00";"98,60";"103,05";"17";"25386127";"94,10";"107,55";""
"4325";"Almat пральний порошок 4,875 кг (65 прань) Bio";"6,40";"3";"240,00";"225,30";"235,55";"17";"25334067";"215,05";"245,80";""
"5173";"Alverde 5in1 Nanaminze, Натуральна зубна паста 75 мл";"0,70";"15";"30,00";"24,65";"25,80";"46";"4010355301604";"23,55";"26,90";""
"108";"Antikalk табл. від накипу для пральних машин (51 табл.)/6";"108,00";"11";"135,00";"118,85";"124,20";"18";"4311501654521";"113,45";"129,60";""
"3784";"Aqua спрей-одеколон/20";"26,50";"1";"29,00";"29,15";"30,50";"138";"4820010222133";"27,85";"31,80";""
"5620";"Ariel гель 1,33 л (38 прань) Color/3";"145,00";"2";"180,00";"159,50";"166,75";"16";"8001090704641";"152,25";"174,00";""
